"Source:","E:\Projects\Solar_panel_tester\Solar_panel_tester_2022_v1.0\Solar_panel_tester_2022_load_v1.0.kicad_sch"
"Date:","23/05/2022 9:51:34 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","A1_MIN","A_MAX","A_MIN","A_NOM","B_MAX","B_MIN","B_NOM","D2_MAX","D_MAX","D_MIN","D_NOM","E1_MAX","E1_MIN","E1_NOM","E2_MAX","ENOM","E_MAX","E_MIN","E_NOM","L_MAX","L_MIN","L_NOM","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","PIN_COUNT","STANDARD"
"","","C1","10u","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C2","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C3","4u7","Device:C","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C4","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C5","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C6","C","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C7","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C8","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C9","10u","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C10","10u","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_6.4mm_M6_DIN965_Pad","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_6.4mm_M6_DIN965_Pad","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_6.4mm_M6_DIN965_Pad","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_6.4mm_M6_DIN965_Pad","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J2","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J3","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J4","Conn_01x02","Connector_Generic:Conn_01x02","Connector_Wire:SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm_Relief","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J5","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Q1","Q_NMOS_GDS","Device:Q_NMOS_GDS","Package_TO_SOT_SMD:TO-268-2","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R1","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R2","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R3","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R4","R","Device:R","Resistor_THT:R_Bare_Metal_Element_L12.4mm_W4.8mm_P11.40mm","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R5","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","",""
